Year,Name,Critics_Choice
2002,Jennifer Connelly,Won
2002,Cameron Diaz,Lost
2002,Marisa Tomei,Lost
2003,Catherine Zeta,Won
2003,Kathy Bates,Lost
2003,Meryl Streep,Lost
2004,Renée Zellweger,Won
2004,Patricia Clarkson,Lost
2004,Marcia Gay Harden,Lost
2004,Holly Hunter,Lost
2004,Scarlett Johansson,Lost
2005,Virginia Madsen,Won
2005,Cate Blanchett,Lost
2005,Laura Linney,Lost
2005,Natalie Portman,Lost
2005,Kate Winslet,Lost
2006,Amy Adams,Won
2006,Maria Bello,Lost
2006,Catherine Keener,Lost
2006,Frances McDormand,Lost
2006,Rachel Weisz,Lost
2007,Jennifer Hudson,Won
2007,Adriana Barraza,Lost
2007,Cate Blanchett,Lost
2007,Rinko Kikuchi,Lost
2007,Catherine O'Hara,Lost
2007,Emma Thompson,Lost
2008,Amy Ryan,Won
2008,Cate Blanchett,Lost
2008,Catherine Keener,Lost
2008,Vanessa Redgrave,Lost
2008,Tilda Swinton,Lost
2009,Kate Winslet,Won
2009,Marisa Tomei,Lost
2009,Penélope Cruz,Lost
2009,Taraji P. Henson,Lost
2009,Vera Farmiga,Lost
2009,Viola Davis,Lost
2010,Mo'Nique,Won
2010,Marion Cotillard,Lost
2010,Vera Farmiga,Lost
2010,Anna Kendrick,Lost
2010,Julianne Moore,Lost
2010,Samantha Morton,Lost
2011,Melissa Leo,Won
2011,Amy Adams,Lost
2011,Helena Bonham Carter,Lost
2011,Mila Kunis,Lost
2011,Hailee Steinfeld,Lost
2011,Jacki Weaver,Lost
2012,Octavia Spencer,Won
2012,Bérénice Bejo,Lost
2012,Jessica Chastain,Lost
2012,Melissa McCarthy,Lost
2012,Carey Mulligan,Lost
2012,Shailene Woodley,Lost
2013,Anne Hathaway,Won
2013,Amy Adams,Lost
2013,Judi Dench,Lost
2013,Ann Dowd,Lost
2013,Sally Field,Lost
2013,Helen Hunt,Lost
2014,Lupita Nyong'o,Won
2014,Scarlett Johansson,Lost
2014,Jennifer Lawrence,Lost
2014,Julia Roberts,Lost
2014,June Squibb,Lost
2014,Oprah Winfrey,Lost
2015,Patricia Arquette,Won
2015,Jessica Chastain,Lost
2015,Keira Knightley,Lost
2015,Emma Stone,Lost
2015,Meryl Streep,Lost
2015,Tilda Swinton,Lost
2016,Alicia Vikander,Won
2016,Jennifer Jason Leigh,Lost
2016,Rooney Mara,Lost
2016,Rachel McAdams,Lost
2016,Helen Mirren,Lost
2016,Kate Winslet,Lost
2017,Viola Davis,Won
2017,Greta Gerwig,Lost
2017,Naomie Harris,Lost
2017,Nicole Kidman,Lost
2017,Janelle Monáe,Lost
2017,Michelle Williams,Lost
2018,Allison Janney,Won
2018,Mary J. Blige,Lost
2018,Hong Chau,Lost
2018,Tiffany Haddish,Lost
2018,Holly Hunter,Lost
2018,Laurie Metcalf,Lost
2018,Octavia Spencer,Lost
2019,Regina King,Won
2019,Amy Adams,Lost
2019,Claire Foy,Lost
2019,Nicole Kidman,Lost
2019,Emma Stone,Lost
2019,Rachel Weisz,Lost
2020,Laura Dern,Won
2020,Scarlett Johansson,Lost
2020,Jennifer Lopez,Lost
2020,Florence Pugh,Lost
2020,Margot Robbie,Lost
2020,Zhao Shu,Lost
2021,Maria Bakalova,Won
2021,Ellen Burstyn,Lost
2021,Glenn Close,Lost
2021,Olivia Colman,Lost
2021,Amanda Seyfried,Lost
2021,Youn Yuh,Lost
2022,Ariana DeBose,Won
2022,Caitríona Balfe,Lost
2022,Ann Dowd,Lost
2022,Kirsten Dunst,Lost
2022,Aunjanue Ellis,Lost
2022,Rita Moreno,Lost
2023,Angela Bassett,Won
2023,Jessie Buckley,Lost
2023,Kerry Condon,Lost
2023,Jamie Lee Curtis,Lost
2023,Stephanie Hsu,Lost
2023,Janelle Monáe,Lost
2024,Da'Vine Joy Randolph,Won
2024,Emily Blunt,Lost
2024,Danielle Brooks,Lost
2024,America Ferrera,Lost
2024,Jodie Foster,Lost
2024,Julianne Moore,Lost
2025,Zoe Saldaña,Won
2025,Danielle Deadwyler,Lost
2025,Aunjanue Ellis,Lost
2025,Ariana Grande,Lost
2025,Margaret Qualley,Lost
2025,Isabella Rossellini,Lost
