Year,Name,BAFTA
1969,Pat Heywood,Won
1969,Simone Signoret,Lost
1969,Virginia Maskell,Lost
1970,Mary Wimbush,Won
1970,Pamela Franklin,Lost
1970,Peggy Ashcroft,Lost
1971,Estelle Parsons,Won
1971,Maureen Stapleton,Lost
1971,Evin Crowley,Lost
1972,Georgia Brown,Won
1972,Georgia Engel,Lost
1972,Jane Asher,Lost
1973,Cloris Leachman,Won
1973,Eileen Brennan,Lost
1973,Marisa Berenson,Lost
1973,Shelley Winters,Lost
1974,Valentina Cortese,Won
1974,Delphine Seyrig,Lost
1974,Ingrid Thulin,Lost
1974,Rosemary Leach,Lost
1975,Ingrid Bergman,Won
1975,Cindy Williams,Lost
1975,Sylvia Sidney,Lost
1975,Sylvia Syms,Lost
1976,Diane Ladd,Won
1976,Gwen Welles,Lost
1976,Lelia Goldoni,Lost
1976,Ronee Blakley,Lost
1977,Jodie Foster,Won
1977,Jodie Foster,Lost
1977,Annette Crosbie,Lost
1977,Billie Whitelaw,Lost
1977,Vivien Merchant,Lost
1978,Jenny Agutter,Won
1978,Geraldine Chaplin,Lost
1978,Joan Plowright,Lost
1978,Shelley Winters,Lost
1979,Geraldine Page,Won
1979,Angela Lansbury,Lost
1979,Maggie Smith,Lost
1979,Mona Washbourne,Lost
1980,Rachel Roberts,Won
1980,Lisa Eichhorn,Lost
1980,Mariel Hemingway,Lost
1980,Meryl Streep,Lost
1983,Maureen Stapleton,Won
1983,Rohini Hattangadi,Lost
1983,Candice Bergen,Lost
1983,Jane Fonda,Lost
1984,Jamie Lee Curtis,Won
1984,Teri Garr,Lost
1984,Rosemary Harris,Lost
1984,Maureen Lipman−Educating Ritaas Trish,Lost
1985,Liz Smith,Won
1985,Cher,Lost
1985,Eileen Atkins,Lost
1985,Tuesday Weld,Lost
1986,Rosanna Arquette,Won
1986,Anjelica Huston,Lost
1986,Judi Dench,Lost
1986,Tracey Ullman,Lost
1987,Judi Dench,Won
1987,Barbara Hershey,Lost
1987,Rosanna Arquette,Lost
1987,Rosemary Leach,Lost
1988,Susan Wooldridge,Won
1988,Dianne Wiest,Lost
1988,Judi Dench,Lost
1988,Vanessa Redgrave,Lost
1989,Judi Dench,Won
1989,Anne Archer,Lost
1989,Maria Aitken,Lost
1989,Olympia Dukakis,Lost
1990,Michelle Pfeiffer,Won
1990,Laura San Giacomo,Lost
1990,Peggy Ashcroft,Lost
1990,Sigourney Weaver,Lost
1991,Whoopi Goldberg,Won
1991,Anjelica Huston,Lost
1991,Billie Whitelaw,Lost
1991,Shirley MacLaine,Lost
1992,Kate Nelligan,Won
1992,Amanda Plummer,Lost
1992,Annette Bening,Lost
1992,Julie Walters,Lost
1993,Miranda Richardson,Won
1993,Helena Bonham Carter,Lost
1993,Kathy Bates,Lost
1993,Miranda Richardson,Lost
1994,Miriam Margolyes,Won
1994,Holly Hunter,Lost
1994,Maggie Smith,Lost
1994,Winona Ryder,Lost
1995,Kristin Scott Thomas,Won
1995,Anjelica Huston,Lost
1995,Charlotte Coleman,Lost
1995,Sally Field,Lost
1996,Kate Winslet,Won
1996,Elizabeth Spriggs,Lost
1996,Joan Allen,Lost
1996,Mira Sorvino,Lost
1997,Juliette Binoche,Won
1997,Lauren Bacall,Lost
1997,Lynn Redgrave,Lost
1997,Marianne Jean,Lost
1998,Sigourney Weaver,Won
1998,Jennifer Ehle,Lost
1998,Lesley Sharp,Lost
1998,Zoë Wanamaker,Lost
1999,Judi Dench,Won
1999,Brenda Blethyn,Lost
1999,Kathy Bates,Lost
1999,Lynn Redgrave,Lost
2000,Maggie Smith,Won
2000,Cameron Diaz,Lost
2000,Cate Blanchett,Lost
2000,Mena Suvari,Lost
2000,Thora Birch,Lost
2001,Julie Walters,Won
2001,Frances McDormand,Lost
2001,Judi Dench,Lost
2001,Lena Olin,Lost
2001,Zhang Ziyi,Lost
2002,Jennifer Connelly,Won
2002,Helen Mirren,Lost
2002,Judi Dench,Lost
2002,Kate Winslet,Lost
2002,Maggie Smith,Lost
2003,Catherine Zeta,Won
2003,Julianne Moore,Lost
2003,Meryl Streep,Lost
2003,Queen Latifah,Lost
2003,Toni Collette,Lost
2004,Renée Zellweger,Won
2004,Emma Thompson,Lost
2004,Holly Hunter,Lost
2004,Judy Parfitt,Lost
2004,Laura Linney,Lost
2005,Cate Blanchett,Won
2005,Heather Craney,Lost
2005,Julie Christie,Lost
2005,Meryl Streep,Lost
2005,Natalie Portman,Lost
2006,Thandiwe Newton,Won
2006,Brenda Blethyn,Lost
2006,Catherine Keener,Lost
2006,Frances McDormand,Lost
2006,Michelle Williams,Lost
2007,Jennifer Hudson,Won
2007,Abigail Breslin,Lost
2007,Emily Blunt,Lost
2007,Frances de la Tour,Lost
2007,Toni Collette,Lost
2008,Tilda Swinton,Won
2008,Cate Blanchett,Lost
2008,Kelly Macdonald,Lost
2008,Samantha Morton,Lost
2008,Saoirse Ronan,Lost
2009,Penélope Cruz,Won
2009,Amy Adams,Lost
2009,Freida Pinto,Lost
2009,Marisa Tomei,Lost
2009,Tilda Swinton,Lost
2010,Mo'Nique,Won
2010,Anna Kendrick,Lost
2010,Anne,Lost
2010,Kristin Scott Thomas,Lost
2010,Vera Farmiga,Lost
2011,Helena Bonham Carter,Won
2011,Amy Adams,Lost
2011,Barbara Hershey,Lost
2011,Lesley Manville,Lost
2011,Miranda Richardson,Lost
2012,Octavia Spencer,Won
2012,Carey Mulligan,Lost
2012,Jessica Chastain,Lost
2012,Judi Dench,Lost
2012,Melissa McCarthy,Lost
2013,Anne Hathaway,Won
2013,Amy Adams,Lost
2013,Helen Hunt,Lost
2013,Judi Dench,Lost
2013,Sally Field,Lost
2014,Jennifer Lawrence,Won
2014,Sally Hawkins,Lost
2014,Lupita Nyong'o,Lost
2014,Julia Roberts,Lost
2014,Oprah Winfrey,Lost
2015,Patricia Arquette,Won
2015,Emma Stone,Lost
2015,Imelda Staunton,Lost
2015,Keira Knightley,Lost
2015,Rene Russo,Lost
2016,Kate Winslet,Won
2016,Alicia Vikander,Lost
2016,Jennifer Jason Leigh,Lost
2016,Julie Walters,Lost
2016,Rooney Mara,Lost
2017,Viola Davis,Won
2017,Hayley Squires,Lost
2017,Michelle Williams,Lost
2017,Naomie Harris,Lost
2017,Nicole Kidman,Lost
2018,Allison Janney,Won
2018,Kristin Scott Thomas,Lost
2018,Laurie Metcalf,Lost
2018,Lesley Manville,Lost
2018,Octavia Spencer,Lost
2019,Rachel Weisz,Won
2019,Amy Adams,Lost
2019,Claire Foy,Lost
2019,Emma Stone,Lost
2019,Margot Robbie,Lost
2020,Laura Dern,Won
2020,Florence Pugh,Lost
2020,Margot Robbie,Lost
2020,Margot Robbie,Lost
2020,Scarlett Johansson,Lost
2021,Youn Yuh,Won
2021,Ashley Madekwe,Lost
2021,Dominique Fishback,Lost
2021,Kosar Ali,Lost
2021,Maria Bakalova,Lost
2021,Niamh Algar,Lost
2022,Ariana DeBose,Won
2022,Caitríona Balfe,Lost
2022,Jessie Buckley,Lost
2022,Ann Dowd,Lost
2022,Aunjanue Ellis,Lost
2022,Ruth Negga,Lost
2023,Kerry Condon,Won
2023,Angela Bassett,Lost
2023,Hong Chau,Lost
2023,Jamie Lee Curtis,Lost
2023,Dolly de Leon,Lost
2023,Carey Mulligan,Lost
2024,Da'Vine Joy Randolph,Won
2024,Emily Blunt,Lost
2024,Danielle Brooks,Lost
2024,Claire Foy,Lost
2024,Sandra Hüller,Lost
2024,Rosamund Pike,Lost
2025,Zoe Saldaña,Won
2025,Jamie Lee Curtis,Lost
2025,Selena Gomez,Lost
2025,Ariana Grande,Lost
2025,Felicity Jones,Lost
2025,Isabella Rossellini,Lost
