Year,Name,Golden_Globe
2021,Jodie Foster,Won
2021,Glenn Close,Lost
2021,Olivia Colman,Lost
2021,Amanda Seyfried,Lost
2021,Helena Zengel,Lost
2022,Ariana DeBose,Won
2022,Caitríona Balfe,Lost
2022,Kirsten Dunst,Lost
2022,Aunjanue Ellis-Taylor,Lost
2022,Ruth Negga,Lost
2023,Angela Bassett,Won
2023,Jamie Lee Curtis,Lost
2023,Kerry Condon,Lost
2023,Dolly de Leon,Lost
2023,Carey Mulligan,Lost
2024,Da’Vine Joy Randolph,Won
2024,Emily Blunt,Lost
2024,Danielle Brooks,Lost
2024,Jodie Foster,Lost
2024,Julianne Moore,Lost
2024,Rosamund Pike,Lost
2025,Zoe Saldaña,Won
2025,Selena Gomez,Lost
2025,Ariana Grande,Lost
2025,Felicity Jones,Lost
2025,Margaret Qualley,Lost
2025,Isabella Rossellini,Lost
