Year,Name,SAG
1995,Dianne Wiest,Won
1995,Jamie Lee Curtis,Lost
1995,Sally Field,Lost
1995,Uma Thurman,Lost
1995,Robin Wright,Lost
1996,Kate Winslet,Won
1996,Stockard Channing,Lost
1996,Anjelica Huston,Lost
1996,Mira Sorvino,Lost
1996,Mare Winningham,Lost
1997,Lauren Bacall,Won
1997,Juliette Binoche,Lost
1997,Marisa Tomei,Lost
1997,Gwen Verdon,Lost
1997,Renée Zellweger,Lost
1998,Kim Basinger,Won
1998,Minnie Driver,Lost
1998,Alison Elliott,Lost
1998,Julianne Moore,Lost
1999,Kathy Bates,Won
1999,Brenda Blethyn,Lost
1999,Judi Dench,Lost
1999,Rachel Griffiths,Lost
1999,Lynn Redgrave,Lost
2000,Angelina Jolie,Won
2000,Cameron Diaz,Lost
2000,Catherine Keener,Lost
2000,Julianne Moore,Lost
2000,Chloë Sevigny,Lost
2001,Judi Dench,Won
2001,Kate Hudson,Lost
2001,Frances McDormand,Lost
2001,Julie Walters,Lost
2001,Kate Winslet,Lost
2002,Helen Mirren,Won
2002,Cate Blanchett,Lost
2002,Judi Dench,Lost
2002,Cameron Diaz,Lost
2002,Dakota Fanning,Lost
2003,Catherine Zeta,Won
2003,Kathy Bates,Lost
2003,Julianne Moore,Lost
2003,Michelle Pfeiffer,Lost
2003,Queen Latifah,Lost
2004,Renée Zellweger,Won
2004,Maria Bello,Lost
2004,Keisha Castle,Lost
2004,Patricia Clarkson,Lost
2004,Holly Hunter,Lost
2005,Cate Blanchett,Won
2005,Cloris Leachman,Lost
2005,Laura Linney,Lost
2005,Virginia Madsen,Lost
2005,Sophie Okonedo,Lost
2006,Rachel Weisz,Won
2006,Amy Adams,Lost
2006,Catherine Keener,Lost
2006,Frances McDormand,Lost
2006,Michelle Williams,Lost
2007,Jennifer Hudson,Won
2007,Adriana Barraza,Lost
2007,Cate Blanchett,Lost
2007,Abigail Breslin,Lost
2007,Rinko Kikuchi,Lost
2008,Ruby Dee,Won
2008,Cate Blanchett,Lost
2008,Catherine Keener,Lost
2008,Amy Ryan,Lost
2008,Tilda Swinton,Lost
2009,Kate Winslet,Won
2009,Amy Adams,Lost
2009,Penélope Cruz,Lost
2009,Viola Davis,Lost
2009,Taraji P. Henson,Lost
2010,Mo'Nique,Won
2010,Penélope Cruz,Lost
2010,Vera Farmiga,Lost
2010,Anna Kendrick,Lost
2010,Diane Kruger,Lost
2011,Melissa Leo,Won
2011,Amy Adams,Lost
2011,Helena Bonham Carter,Lost
2011,Mila Kunis,Lost
2011,Hailee Steinfeld,Lost
2012,Octavia Spencer,Won
2012,Bérénice Bejo,Lost
2012,Jessica Chastain,Lost
2012,Melissa McCarthy,Lost
2012,Janet McTeer,Lost
2013,Anne Hathaway,Won
2013,Sally Field,Lost
2013,Helen Hunt,Lost
2013,Nicole Kidman,Lost
2013,Maggie Smith,Lost
2014,Lupita Nyong'o,Won
2014,Jennifer Lawrence,Lost
2014,Julia Roberts,Lost
2014,June Squibb,Lost
2014,Oprah Winfrey,Lost
2015,Patricia Arquette,Won
2015,Keira Knightley,Lost
2015,Emma Stone,Lost
2015,Meryl Streep,Lost
2015,Naomi Watts,Lost
2016,Alicia Vikander,Won
2016,Rooney Mara,Lost
2016,Rachel McAdams,Lost
2016,Helen Mirren,Lost
2016,Kate Winslet,Lost
2017,Viola Davis,Won
2017,Naomie Harris,Lost
2017,Nicole Kidman,Lost
2017,Octavia Spencer,Lost
2017,Michelle Williams,Lost
2018,Allison Janney,Won
2018,Mary J. Blige,Lost
2018,Hong Chau,Lost
2018,Holly Hunter,Lost
2018,Laurie Metcalf,Lost
2019,Emily Blunt,Won
2019,Amy Adams,Lost
2019,Margot Robbie,Lost
2019,Emma Stone,Lost
2019,Rachel Weisz,Lost
2020,Laura Dern,Won
2020,Scarlett Johansson,Lost
2020,Nicole Kidman,Lost
2020,Jennifer Lopez,Lost
2020,Margot Robbie,Lost
2021,Youn Yuh,Won
2021,Maria Bakalova,Lost
2021,Glenn Close,Lost
2021,Olivia Colman,Lost
2021,Helena Zengel,Lost
2022,Ariana DeBose,Won
2022,Caitríona Balfe,Lost
2022,Cate Blanchett,Lost
2022,Kirsten Dunst,Lost
2022,Ruth Negga,Lost
2023,Jamie Lee Curtis,Won
2023,Angela Bassett,Lost
2023,Hong Chau,Lost
2023,Kerry Condon,Lost
2023,Stephanie Hsu,Lost
2024,Da'Vine Joy Randolph,Won
2024,Emily Blunt,Lost
2024,Danielle Brooks,Lost
2024,Penélope Cruz,Lost
2024,Jodie Foster,Lost
2025,Zoe Saldaña,Won
2025,Monica Barbaro,Lost
2025,Jamie Lee Curtis,Lost
2025,Danielle Deadwyler,Lost
2025,Ariana Grande,Lost
